"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"TransMayabeque",33,0,0,0,"14287630"
"Transmetro",1,0,0,0,"12008742"
"Transmetro - Transtur",1,0,0,0,"11250946"
"Transporte Sonnell",4,0,0,0,"2625100"
"Transporte Urbano de David S.A. (T.U.A.S.A)",7,0,0,0,"11532360"
"Transporte Urbano de David S.A. (T.U.D.S.A)",1,0,0,0,"16517224"
"Transporte Urbano de David S.A.(T.U.D.S.A.)",2,0,0,0,"16644891"
"Transportes Alpizar",1,0,0,0,"5813071"
"Transportes Alpizar S.A.",5,0,0,0,"10339644"
"Transportes Barveños, LTDA",1,0,0,0,"17949855"
"Transportes Carrizal S.A.",2,0,0,0,"6393418"
"Transportes Eléctricos de Guatemala",2,0,0,0,"17941080"
"Transportes La Fortaleza Limitada",1,0,0,0,"6101499"
"Transportes Liberianos de Norte S.A.",2,0,0,0,"10364285"
"Transportes del Este Montoya",1,0,0,0,"5448413"
"Transportes la Fortaleza",1,0,0,0,"6068739"
"Transtur",4,0,0,0,"11250948"
"UEB Transporte Camajuaní",13,0,0,0,"19336539"
"Unión de Transportistas Punta Delgadita Mercado (Utrapume)",1,0,0,0,"13145411"
"Unknown",1,0,0,0,"6100203"
"Villa Bonita S.A.",1,0,0,0,"5830912"
"Viñales Bus Tour",1,0,0,0,"8387974"
"artra",1,0,0,0,"6664585"
"casbt",7,0,0,0,"13459046"
"karulis",1,0,0,0,"13037458"
"transtur",1,0,0,0,"4564347"
"Ómnibus II Frente",1,0,0,0,"18407285"
"Ómnibus Metropolitanos",94,0,0,0,"14346391"
"Ómnibus Urbanos",12,0,0,0,"13447873"
"Ómnibus Varadero",7,0,0,0,"13515182"
"Ómnibus Yumurí",8,0,0,0,"11987061"
NA,610,0,0,0,"10062707"
