"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Jillett, Michael",1,1,1,0,"19371420"
"Mitchell Transit",8,1,6,0,"11795464"
"Sapphire Coast Buslines",1,1,1,0,"19473230"
"Symons Bus & Coach Service",1,1,1,0,"19509437"
"Torrens Transit",3,1,3,0,"11263369"
"Transit Portland",2,1,2,0,"2955511"
"Translink",1,1,1,0,"20206672"
"Trotter's",4,1,3,0,"2904831"
"AAT Kings",1,0,0,0,"10460454"
"ACTION",43,0,0,0,"1385688"
"ASBUS",6,0,0,0,"18940970"
"Adelaide Metro",3,0,1,0,"10601181"
"Adelaide Metro (SouthLink)",6,0,2,0,"11265293"
"Alpine Spirit Coaches",1,0,0,0,"12773204"
"Auckland Airport",1,0,0,0,"14258542"
"Bacchus Marsh",4,0,0,0,"2043980"
"Baybus",3,0,0,0,"5877745"
"Bayes Coachlines",27,0,0,0,"14959302"
"Bentley",4,0,0,0,"19516165"
"Bowen Transit",4,0,0,0,"14431074"
"Boyle's",1,0,0,0,"2906378"
"Brisbane Airport Corporation",5,0,0,0,"16782959"
"Brisbane City Council",1,0,0,0,"15800831"
"Brisbane Transport;South West Transit",1,0,0,0,"2666224"
"Broadmeadows Bus Service",3,0,3,0,"11790774"
"C & BD McCulloch",1,0,0,0,"2965052"
"CARSUD",4,0,0,0,"2829416"
"CDC Broken Hill",2,0,0,0,"14898749"
"CDC NSW",6,0,0,0,"19886828"
"CDC Northern Territory (Formerly Buslink)",1,0,0,0,"19079188"
"Cavanagh's",1,0,0,0,"2896059"
"Central Goldfields",4,0,0,0,"2907383"
"Christian Bus",1,0,1,0,"19757206"
"Citibus",7,0,0,0,"1468787"
"Cole's",1,0,0,0,"2925573"
"Coles Coaches",1,0,0,0,"2903326"
"College of the Marshall Islands",1,0,0,0,"17173955"
"Cook's Passenger Transport",3,0,0,0,"1140874"
"Cooma Coaches",1,0,1,0,"19903873"
"Cranbourne Transit",16,0,14,0,"2752217"
"D & D Cleeland",2,0,0,0,"2904737"
"D & J Heard",1,0,0,0,"2905097"
"Darwin Bus",6,0,0,0,"17172449"
"Des' Minibus",2,0,0,0,"9721397"
"Dyson Group",1,0,0,0,"2908759"
"Dysons Bus Lines",5,0,0,0,"2750322"
"Dysons Shepparton",2,0,0,0,"16680632"
"Eastrans",1,0,1,0,"14119717"
"Enviroment Canterbury",1,0,0,0,"1625359"
"Environment Canterbury",2,0,0,0,"13332398"
"Fallons",1,0,0,0,"2907363"
"Falls Creek Coaches",1,0,0,0,"15868249"
"GJ & LE Christensen Bus & Coach",13,0,0,0,"14918211"
"Glasshouse Country Coaches",5,0,0,0,"16261560"
"Go Bus",58,0,0,0,"12554852"
"Go Bus Christchurch",15,0,0,0,"13332458"
"Gold Bus",3,0,0,0,"2897619"
"Greyhound Australia",1,0,0,0,"7714037"
"Haidley's Panoramic Coaches",5,0,0,0,"14920712"
"Hannafords Coaches",2,0,2,0,"19777154"
"Harley's",1,0,0,0,"2967545"
"Henty Highway",1,0,0,0,"2908563"
"Horizons",4,0,0,0,"17344814"
"Howick and Eastern",22,0,0,0,"15396785"
"Hutchinson",1,0,0,0,"2903339"
"Intercity",1,0,0,0,"15628957"
"Kastoria Bus Lines",7,0,7,0,"11291764"
"KiwiRail",1,0,0,0,"15048517"
"Kyneton",1,0,0,0,"2906220"
"Leopard Coachlines",1,0,0,0,"1625373"
"Little's",7,0,0,0,"2898459"
"Logan Coaches",2,0,2,0,"20249352"
"MP & DG Johnston",1,0,0,0,"2964934"
"Mahu City Express",1,0,0,0,"15421597"
"Mallacoota Explorer",1,0,0,0,"2906405"
"Mana Coach Services (Transdev)",10,0,0,0,"1171482"
"Marlborough District Council",1,0,0,0,"19236150"
"Martyrs",2,0,2,0,"17518275"
"Mayfield",1,0,0,0,"10133970"
"McCormacks Bus Service",1,0,0,0,"2961192"
"McCormicks Bus Service",2,0,0,0,"2961193"
"McDermott's Coach Group",2,0,0,0,"20247215"
"McDonald Charter Boats",1,0,0,0,"10956542"
"McKenzies",1,0,0,0,"2729358"
"Merseylink",3,0,0,0,"10110986"
"Metro Tasmania",3,0,0,0,"12336431"
"Metro Trains",1,0,0,0,"19386749"
"Metro Trains Melbourne",7,0,0,0,"19424031"
"Mortimer",1,0,0,0,"2980493"
"Mosgiel Coach Services",1,0,0,0,"1521488"
"Mount Hotham Alpine Resort",1,0,0,0,"12714702"
"NZ Bus",128,0,0,0,"1522990"
"NZbus",2,0,0,0,"14400794"
"Norton's",1,0,0,0,"2906145"
"Orbus",8,0,0,0,"12362990"
"Organ's",2,0,0,0,"2906198"
"Ouyen Hotel",1,0,0,0,"2969989"
"Passenger Transport",5,0,0,0,"1521490"
"Path Transit",155,0,0,0,"10255675"
"Path Transit;Swan Transiit",1,0,0,0,"5134073"
"Path Transit;Swan Transit",1,0,0,0,"5134062"
"Pavlovich Transport Solutions",2,0,0,0,"15793958"
"Perisher",1,0,0,0,"19229102"
"Phillip Island",1,0,0,0,"2904709"
"Pickering Motors",1,0,0,0,"19066712"
"Pickering Motors;Weir Bros",1,0,0,0,"19066711"
"Pope's",2,0,0,0,"13968284"
"Priors Bus Service",3,0,3,0,"18743266"
"QConnect",9,0,0,0,"5341985"
"Qantas",1,0,0,0,"17947102"
"Quambatook Lalbert",2,0,0,0,"2970313"
"R & L Webster",1,0,0,0,"2750447"
"R & S Wilkinson",1,0,0,0,"2752083"
"RTCT",2,0,0,0,"12871451"
"Red Bus",5,0,0,0,"13838613"
"Ritchies",13,0,0,0,"1171531"
"Ritchies Transport",133,0,0,0,"10053821"
"Robinson's",1,0,0,0,"2725381"
"Rottnest Island Authority",1,0,0,0,"5194364"
"SMTI",5,0,0,0,"12152371"
"SMTU",31,0,0,0,"11995537"
"Sea Lake District Hospital",1,0,0,0,"2979083"
"Sealink",1,0,0,0,"11092845"
"Sita Coaches",1,0,1,0,"11643495"
"SkyBus",2,0,0,0,"20623311"
"SkyDrive Airport Express",1,0,0,0,"15621836"
"South Coast",6,0,0,0,"2904672"
"South Western",2,0,0,0,"13825929"
"Stewart's",1,0,0,0,"19151480"
"Sun Palm Transport Group",1,0,0,0,"8633332"
"Sunbus",35,0,0,0,"10593418"
"Sunshine",3,0,0,0,"2904782"
"Swan Hill",8,0,1,0,"2905117"
"Swan Transit",349,0,0,0,"10807771"
"Swan Transit;Path Transit;Transdev WA",1,0,0,0,"2186674"
"Sydney Airport",1,0,0,0,"10743774"
"Tere Tahiti",6,0,0,0,"14729057"
"Thompsons Bus Service",1,0,1,0,"17019857"
"Thomson's",4,0,0,0,"2900481"
"Tinonee Bus Company",1,0,1,0,"19808903"
"Transdev WA",31,0,0,0,"11924926"
"Transit Group",1,0,0,0,"18094568"
"Transperth",1,0,0,0,"11955041"
"Transport Victoria",3,0,0,0,"20445519"
"Transwa",1,0,0,0,"7349456"
"Tranzit",10,0,0,0,"17344820"
"Tranzit Coachlines",1,0,0,0,"5626766"
"Tranzit Group",22,0,0,0,"14883303"
"Tranzit Group Ltd",104,0,0,0,"1309559"
"Tranzurban",3,0,0,0,"13153214"
"Tranzurban Wellington",18,0,0,0,"12715040"
"Tranzurban v2",1,0,0,0,"13153377"
"Turnbull's",1,0,0,0,"2930243"
"University of Newcastle",1,0,0,0,"18459470"
"Uzabus",18,0,0,0,"15931823"
"Valley Flyer",10,0,0,0,"11026952"
"Ventura;CDC Melbourne",2,0,2,0,"8981020"
"Waiheke Bus Company",18,0,0,0,"10030434"
"Walter's",1,0,0,0,"2980457"
"Wangaratta",5,0,0,0,"2896093"
"Warragul",5,0,0,0,"2908827"
"Warrnambool",1,0,0,0,"2927691"
"Western Sydney Buses",1,0,0,0,"1988187"
"Westernport",1,0,0,0,"2903342"
"Whitmore Group",1,0,1,0,"2898836"
"Wide Bay Transit",1,0,0,0,"10892847"
"Zaffina's",1,0,0,0,"2969838"
"connectabus",1,0,0,0,"5887155"
"eBus",13,0,0,0,"17081769"
"eBus ",1,0,0,0,"17270894"
