"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"CTB;KMB",3,0,0,0,"2228330"
"CUHK",4,0,0,0,"8022756"
"CYKT",2,0,0,0,"14128656"
"Capital Development Authority",1,0,0,0,"18946704"
"Carmona Estates Homeowners Transport Cooperative",2,0,0,0,"10814657"
"Casligas",4,0,0,0,"11686002"
"Causeway Link",114,0,0,0,"14165147"
"Cavite Batangas Transport Service and Multi-Purpose Cooperative",3,0,0,0,"17147125"
"Cavite Batangas Transport Service and Multi-Purpose Cooperative;Erjohn & Almark Transit Corporation",2,0,0,0,"10558974"
"Cavite Batangas Transport Service and Multi-Purpose Cooperative;Erjohn & Almark Transit Corporation;San Agustin Transport Service Corporation",1,0,0,0,"10558941"
"Cebu Bus Rapid Transit",2,0,0,0,"20586938"
"Celyrosa Trans",2,0,0,0,"9348361"
"Ceres Transport Inc.",10,0,0,0,"10662269"
"Chaing Rai Municipality",1,0,0,0,"14213063"
"Chalo",1,0,0,0,"19412182"
"Chan Transit",2,0,0,0,"8202723"
"Chandigarh Transport Undertaking",110,0,0,0,"16450017"
"Charoen Bus",2,0,0,0,"15650473"
"Cher Transport",3,0,0,0,"10645335"
"Chi nhánh Công ty liên doanh vận chuyển Quốc tế Hải Vân tại Bà Rịa - Vũng Tàu",4,0,0,0,"19475088"
"Chi nhánh Công ty liên doanh vận chuyển quốc tế Hải Vân tại Quảng Nam",2,0,0,0,"20655708"
"Chi nhánh Hợp tác xã số 15",4,0,0,0,"18877934"
"Chilanka",1,0,0,0,"2197377"
"Cisco Bus Company, Inc.",4,0,0,0,"8202629"
"City Government of Pasig",4,0,0,0,"10665083"
"City Shuttle",1,0,0,0,"20034766"
"City Tours",2,0,0,0,"20238566"
"City of Dasmariñas",2,0,0,0,"14330253"
"City of Dreams Manila",2,0,0,0,"10256678"
"City of Pasig",4,0,0,0,"10664496"
"Citybus",6,0,0,0,"15876780"
"Cityliner",1,0,0,0,"15796232"
"Citylink Coach Services",2,0,0,0,"15019313"
"Citylink Coach Services, Inc.",2,0,0,0,"8747987"
"Coastal",1,0,0,0,"17999405"
"Coda Lines Corporation",1,0,0,0,"10649843"
"ComfortDelGro Bus",7,0,0,0,"18125329"
"Common Transport Service Cooperative",1,0,0,0,"15021428"
"Cordillera Basic Sectors Transport Cooperative",2,0,0,0,"13571343"
"Cubao-Rosario Transport Service Cooperative",2,0,0,0,"19257070"
"Công Ty TNHH MTV TMDV Vận Tải QNABUS",2,0,0,0,"20656459"
"Công ty Bảo Yến",38,0,0,0,"12812221"
"Công ty CP Phương Trinh",2,0,0,0,"18876458"
"Công ty CP Ph​ương Trinh",2,0,0,0,"18876470"
"Công ty CP VT Bình Dương",2,0,0,0,"19210699"
"Công ty CP VT Ôtô Tỉnh Bà Rịa - Vũng Tàu",2,0,0,0,"17568154"
"Công ty CP Vận tải Bình Dương",2,0,0,0,"18877931"
"Công ty CP Xe khách Hà Nội",7,0,0,0,"14343665"
"Công ty CP Xe điện",8,0,0,0,"14741388"
"Công ty CPVT & DV Liên Ninh",15,0,0,0,"12921723"
"Công ty CPVT Hà Tây",4,0,0,0,"17074778"
